"ROC_observed_outcome","ROC_observed_corrected","sum_low_risk","sum_high_risk","sum_outcome_observed","sum_outcome_true","sum_high_risk_observed","sum_high_risk_true","sum_low_risk_observed","sum_low_risk_true"
0.730758705616748,0.761638788764002,1082,209,47,91,20,21,27,70
0.810160877052968,0.827489188977065,1079,212,38,51,20,15,18,36
0.704549935916395,0.752071908607779,1057,234,49,128,21,34,28,94
0.773992692410834,0.818464559286299,1058,233,48,69,27,26,21,43
0.663778611147032,0.694047123225779,1051,240,37,64,18,17,19,47
0.693382895060211,0.729906288166171,1071,220,39,74,18,21,21,53
0.713364055299539,0.765422810789812,1076,215,31,100,14,21,17,79
0.726222420989863,0.777515765100673,1047,244,43,41,28,20,15,21
0.761023622047244,0.778114435663102,1067,224,21,57,10,15,11,42
0.751895268847396,0.789130717976685,1062,229,34,62,17,17,17,45
0.72166584746457,0.775002993902581,1060,231,39,118,17,32,22,86
0.743291983168479,0.783766263964534,1072,219,29,41,15,10,14,31
0.769273729150119,0.771097355933463,1052,239,32,20,18,11,14,9
0.757138114209827,0.799237933629031,1079,212,36,54,18,18,18,36
0.720826932923707,0.789963045125437,1065,226,31,97,16,26,15,71
0.775708277999115,0.794962045807418,1053,238,36,65,21,22,15,43
0.75857784826857,0.801113808505293,1063,228,30,92,13,21,17,71
0.761890623232666,0.814300476381387,1079,212,28,46,9,12,19,34
0.761231632247816,0.801210970955203,1066,225,32,55,18,18,14,37
0.655812238879331,0.692069298650452,1073,218,39,31,17,12,22,19
0.736779914829894,0.770783477604549,1061,230,34,24,17,10,17,14
0.736370525108544,0.733599336293264,1060,231,39,19,16,6,23,13
0.743466511596087,0.802366231562176,1078,213,47,34,23,14,24,20
0.815937019969278,0.877015362864883,1036,255,31,135,22,43,9,92
0.772260624679979,0.822019668183054,1055,236,31,47,19,14,12,33
0.683493633531887,0.755538956930618,1039,252,29,70,14,17,15,53
0.740964199931374,0.786501918472217,1064,227,42,108,21,27,21,81
0.739148681055156,0.804923845280809,1067,224,40,92,18,24,22,68
0.793668292682927,0.843861858427953,1057,234,41,181,23,57,18,124
0.697810250441829,0.728026033675261,1050,241,37,69,16,15,21,54
0.771966838760921,0.800596908524232,1070,221,32,26,17,10,15,16
0.787161055132301,0.818518713470277,1068,223,39,68,17,16,22,52
0.765384483820209,0.834689128705525,1033,258,47,65,28,27,19,38
0.721266788338247,0.784151808875413,1060,231,34,44,19,12,15,32
0.734705621956618,0.775387107792076,1052,239,36,57,17,14,19,43
0.775389025389025,0.833546008258396,1059,232,33,68,16,20,17,48
0.778038733921087,0.816615821775502,1062,229,33,70,17,12,16,58
0.70845759650523,0.710765781095945,1052,239,38,17,18,9,20,8
0.701733049559137,0.76906862219483,1062,229,26,106,12,23,14,83
0.762683677521843,0.792060072311158,1061,230,32,35,18,15,14,20
0.742704606440071,0.784218558385546,1061,230,43,84,22,26,21,58
0.814785090065989,0.855404977847125,1067,224,45,87,23,30,22,57
0.810203629924745,0.843654443047927,1075,216,36,59,24,22,12,37
0.744096906278435,0.74704925664473,1086,205,35,23,14,8,21,15
0.755833002382843,0.769108971219988,1052,239,32,21,17,10,15,11
0.712420571882446,0.757544015197759,1091,200,32,82,12,14,20,68
0.70932055114092,0.739489371772541,1060,231,44,30,16,9,28,21
0.76969157041042,0.77282654738354,1065,226,39,23,20,13,19,10
0.7350569160331,0.778915779508606,1030,261,38,60,20,17,18,43
0.786752988047809,0.819646071268149,1045,246,36,97,20,23,16,74
0.76254099582588,0.803269621836579,1086,205,43,66,22,17,21,49
0.720903010033445,0.764793706704582,1052,239,26,109,12,28,14,81
0.768975511404209,0.812179506795912,1048,243,38,74,17,24,21,50
0.704929231105525,0.788750415250861,1070,221,29,73,15,21,14,52
0.74566478646253,0.793327939126564,1074,217,50,100,22,27,28,73
0.658521469676848,0.701003595393455,1080,211,36,35,14,9,22,26
0.763067596934691,0.795031964011296,1059,232,42,34,21,13,21,21
0.806822967850625,0.802621915686818,1062,229,34,21,20,13,14,8
0.664167324388319,0.781869146944774,1055,236,24,33,13,7,11,26
