"ROC_observed_outcome","ROC_observed_corrected","sum_low_risk","sum_medium_risk","sum_high_risk","sum_outcome_observed","sum_outcome_true","sum_high_risk_observed","sum_high_risk_true","sum_medium_risk_observed","sum_medium_risk_true","sum_low_risk_observed","sum_low_risk_true","mean_age_low_risk_true","mean_age_medium_risk_true","mean_age_high_risk_true"
0.687478791991856,0.721356694314574,725,343,223,28,28,9,8,14,6,5,14,42.2213587541649,41.3889736259366,43.5635025489192
0.69734578520521,0.731919542732808,713,341,237,39,65,15,18,15,17,9,30,42.2213587541649,41.3889736259366,43.5635025489192
0.648009756097561,0.681286617754721,749,337,205,41,28,13,4,13,9,15,15,42.2213587541649,41.3889736259366,43.5635025489192
0.719591581951133,0.76244439308482,709,345,237,45,29,19,9,13,5,13,15,42.2213587541649,41.3889736259366,43.5635025489192
0.719420174741859,0.752546395646527,737,336,218,32,45,13,10,13,13,6,22,42.2213587541649,41.3889736259366,43.5635025489192
0.810037273695421,0.850965441483739,721,344,226,39,37,27,17,4,8,8,12,42.2213587541649,41.3889736259366,43.5635025489192
0.745773791425965,0.808764083322426,733,326,232,26,59,12,17,6,14,8,28,42.2213587541649,41.3889736259366,43.5635025489192
0.769617568584525,0.803462636885289,732,327,232,47,44,27,18,11,11,9,15,42.2213587541649,41.3889736259366,43.5635025489192
0.775759392486011,0.806212532393364,739,330,222,40,25,22,9,10,3,8,13,42.2213587541649,41.3889736259366,43.5635025489192
0.70216951745997,0.755325127116547,725,362,204,29,42,10,10,9,14,10,18,42.2213587541649,41.3889736259366,43.5635025489192
0.772771782573941,0.82361181315104,754,339,198,40,59,22,19,8,12,10,28,42.2213587541649,41.3889736259366,43.5635025489192
0.807872503840246,0.843983720796076,696,350,245,31,55,20,19,8,10,3,26,42.2213587541649,41.3889736259366,43.5635025489192
0.710935859201075,0.742632936674205,729,330,232,38,65,15,20,13,14,10,31,42.2213587541649,41.3889736259366,43.5635025489192
0.718687946783161,0.748778701903261,748,336,207,32,21,12,4,11,9,9,8,42.2213587541649,41.3889736259366,43.5635025489192
0.738237916889602,0.7844393940456,698,347,246,45,37,24,10,9,10,12,17,42.2213587541649,41.3889736259366,43.5635025489192
0.712258999453942,0.761191844142712,703,362,226,38,67,15,16,16,22,7,29,42.2213587541649,41.3889736259366,43.5635025489192
0.752435449803871,0.805156293074477,704,364,223,37,46,19,13,9,13,9,20,42.2213587541649,41.3889736259366,43.5635025489192
0.750893052416709,0.786799241083579,702,330,259,44,15,23,5,12,7,9,3,42.2213587541649,41.3889736259366,43.5635025489192
0.766368457951047,0.801536082922564,719,350,222,53,73,25,23,18,18,10,32,42.2213587541649,41.3889736259366,43.5635025489192
0.763874837404249,0.808686434293493,717,353,221,33,68,18,18,7,20,8,30,42.2213587541649,41.3889736259366,43.5635025489192
0.735646303674192,0.764230352617694,703,357,231,36,23,18,12,11,4,7,7,42.2213587541649,41.3889736259366,43.5635025489192
0.739277204130262,0.770202088112544,693,356,242,32,118,14,23,14,37,4,58,42.2213587541649,41.3889736259366,43.5635025489192
0.733545766249255,0.779004487836219,715,350,226,43,88,18,22,13,20,12,46,42.2213587541649,41.3889736259366,43.5635025489192
0.651363044482715,0.688627903180245,710,370,211,38,52,14,13,12,15,12,24,42.2213587541649,41.3889736259366,43.5635025489192
0.7373763593639,0.783403720459531,717,318,256,29,45,15,13,4,7,10,25,42.2213587541649,41.3889736259366,43.5635025489192
0.739200884517138,0.78757528107595,719,345,227,42,43,21,13,9,12,12,18,42.2213587541649,41.3889736259366,43.5635025489192
0.780106691309279,0.819394150942115,714,345,232,38,35,21,12,14,10,3,13,42.2213587541649,41.3889736259366,43.5635025489192
0.766215077916608,0.804064086235484,730,340,221,34,38,20,13,7,6,7,19,42.2213587541649,41.3889736259366,43.5635025489192
0.706923875621619,0.76046582529763,708,325,258,29,59,12,18,9,13,8,28,42.2213587541649,41.3889736259366,43.5635025489192
0.693040146402836,0.720223452991689,716,347,228,42,28,13,3,19,9,10,16,42.2213587541649,41.3889736259366,43.5635025489192
0.727486751305807,0.774961294737553,731,328,232,42,64,17,16,12,14,13,34,42.2213587541649,41.3889736259366,43.5635025489192
0.791066818903892,0.835612772559621,710,363,218,32,20,18,5,9,5,5,10,42.2213587541649,41.3889736259366,43.5635025489192
0.772772657450077,0.784812110478814,728,342,221,31,37,16,11,9,15,6,11,42.2213587541649,41.3889736259366,43.5635025489192
0.775358422939068,0.795230639477152,718,348,225,31,32,16,6,12,13,3,13,42.2213587541649,41.3889736259366,43.5635025489192
0.75646579593948,0.794352489808191,733,339,219,37,126,16,28,13,34,8,64,42.2213587541649,41.3889736259366,43.5635025489192
0.725589528377298,0.773810839028881,706,355,230,40,32,18,10,10,9,12,13,42.2213587541649,41.3889736259366,43.5635025489192
0.785292164674635,0.815892712258852,708,344,239,36,43,19,14,14,14,3,15,42.2213587541649,41.3889736259366,43.5635025489192
0.800729874259286,0.825977679483572,695,378,218,33,65,20,16,9,16,4,33,42.2213587541649,41.3889736259366,43.5635025489192
0.750365205843293,0.802465019962188,725,346,220,36,23,18,8,10,7,8,8,42.2213587541649,41.3889736259366,43.5635025489192
0.740050907481186,0.801825783918267,713,345,233,36,85,20,28,7,18,9,39,42.2213587541649,41.3889736259366,43.5635025489192
0.771958925750395,0.804870509534247,694,364,233,25,27,11,9,14,11,0,7,42.2213587541649,41.3889736259366,43.5635025489192
0.770294160530728,0.808116216561378,746,330,215,44,57,24,15,11,21,9,21,42.2213587541649,41.3889736259366,43.5635025489192
