"ROC_observed_outcome","ROC_observed_corrected","sum_low_risk","sum_high_risk","sum_outcome_observed","sum_outcome_true","sum_high_risk_observed","sum_high_risk_true","sum_low_risk_observed","sum_low_risk_true"
0.734876222744412,0.784382699492892,1064,227,29,59,17,21,12,38
0.800353315550564,0.825576549442287,1063,228,34,58,16,14,18,44
0.726519724835041,0.771774015527953,1071,220,34,66,12,13,22,53
0.75281721604448,0.820337854561911,1070,221,32,62,19,20,13,42
0.722386604638435,0.779913417699673,1056,235,47,69,18,14,29,55
0.737629896083133,0.781595609742869,1053,238,40,52,17,15,23,37
0.755385652839542,0.798571258579623,1066,225,44,66,23,22,21,44
0.709442446043165,0.759579260351773,1068,223,40,54,21,17,19,37
0.739630367419212,0.786887944826353,1046,245,36,56,18,18,18,38
0.782104913678619,0.822663046936596,1080,211,36,48,16,9,20,39
0.741705273995039,0.774712932899275,1079,212,34,55,13,15,21,40
0.789975560792529,0.81854126570833,1053,238,18,43,11,8,7,35
0.721927124702145,0.779847939641395,1076,215,32,61,14,19,18,42
0.652731608613961,0.699799715873964,1062,229,33,52,12,11,21,41
0.776777689664288,0.832008070302214,1055,236,30,57,17,19,13,38
0.782868292682927,0.84143883906183,1106,185,41,64,23,19,18,45
0.701170731707317,0.751966028844352,1090,201,41,71,16,18,25,53
0.763306424026818,0.800917962845628,1063,228,47,67,22,18,25,49
0.649756374175663,0.698987820687411,1062,229,38,51,12,13,26,38
0.731895771369456,0.808486376225581,1062,229,37,58,19,12,18,46
0.725889444281094,0.748980347770575,1083,208,38,53,14,13,24,40
0.740027460615696,0.805215465985265,1073,218,33,49,17,12,16,37
0.814726840855107,0.845710668536478,1051,240,28,62,15,17,13,45
0.766949442430047,0.839477412575497,1067,224,47,62,27,21,20,41
0.753697042366107,0.803513589774864,1075,216,40,51,20,17,20,34
0.731673306772908,0.770851877591483,1045,246,36,63,15,15,21,48
0.734643902439024,0.770426071888258,1071,220,41,63,14,19,27,44
0.774659817476365,0.812278385761829,1069,222,29,55,12,14,17,41
0.729390354868062,0.779934498941514,1076,215,35,59,16,15,19,44
0.746165111199364,0.822917637326753,1064,227,32,56,20,17,12,39
0.739989820156091,0.783005875770661,1097,194,28,54,13,15,15,39
0.812939521800281,0.846011519317229,1059,232,27,53,16,15,11,38
0.739019787258378,0.779130222814858,1083,208,42,61,20,16,22,45
0.759062890641838,0.795994588183859,1068,223,37,61,13,13,24,48
0.741377696663391,0.785428089386178,1083,208,34,56,17,17,17,39
0.75369756097561,0.807031688643377,1061,230,41,62,17,18,24,44
0.741501976284585,0.782529488270107,1075,216,26,58,14,14,12,44
0.802502263028579,0.84454692381416,1057,234,37,65,25,22,12,43
0.799440778698114,0.843873110368403,1068,223,34,66,20,21,14,45
0.805649324861001,0.843804043937744,1064,227,32,48,19,16,13,32
0.707059533386967,0.74272510472847,1065,226,48,63,19,11,29,52
0.733491555148881,0.768547523637343,1070,221,42,67,16,16,26,51
0.784883720930233,0.819509551273963,1073,218,44,63,25,19,19,44
0.744755244755245,0.780979930036921,1072,219,26,53,13,18,13,35
0.746194055017584,0.815174232670469,1046,245,33,66,17,17,16,49
0.733391145155851,0.770749558460955,1049,242,33,51,13,13,20,38
0.750086210612526,0.794274219117369,1073,218,37,52,18,20,19,32
0.733187384552234,0.780256870886728,1049,242,47,65,21,19,26,46
0.767858915806195,0.82308889014475,1062,229,32,53,18,20,14,33
0.765496357601621,0.816834260714384,1053,238,37,65,19,20,18,45
0.767520684852953,0.81050670667276,1063,228,39,67,22,22,17,45
0.764562154449795,0.811997905593136,1072,219,45,63,21,19,24,44
0.655617678381257,0.701311077285721,1068,223,39,56,11,10,28,46
0.698578252957234,0.742802526512199,1040,251,35,62,15,14,20,48
