"ROC_observed_outcome","ROC_observed_corrected","sum_low_risk","sum_high_risk","sum_outcome_observed","sum_outcome_true","sum_high_risk_observed","sum_high_risk_true","sum_low_risk_observed","sum_low_risk_true"
0.740267551213822,0.792485605183243,1095,196,44,68,20,19,24,49
0.735925873929524,0.778764411882116,1050,241,34,115,16,24,18,91
0.744864955685302,0.743267816236109,1078,213,38,15,18,4,20,11
0.755592417061611,0.825926572951172,1065,226,25,89,14,18,11,71
0.714168714168714,0.722158928159946,1082,209,37,19,17,9,20,10
0.763577243844321,0.795283661627894,1048,243,32,29,18,12,14,17
0.720512311358221,0.787591525835999,1067,224,32,49,14,11,18,38
0.758911891417896,0.793239312655967,1082,209,42,77,19,17,23,60
0.809167424931756,0.850575327967524,1074,217,35,100,19,25,16,75
0.696188557614827,0.723267338930577,1059,232,50,27,20,9,30,18
0.774094781682641,0.831597809850279,1059,232,39,74,24,21,15,53
0.721594489015836,0.757824848041703,1071,220,38,24,16,7,22,17
0.757821300563236,0.808951235585941,1093,198,31,59,14,16,17,43
0.783150715563506,0.818324905584625,1070,221,43,51,27,19,16,32
0.786201945616502,0.856343251617714,1075,216,27,87,14,16,13,71
0.767104216388226,0.812035370476817,1079,212,34,46,19,18,15,28
0.752138990745591,0.804198285230467,1083,208,46,79,22,22,24,57
0.735231814548361,0.779056388588248,1060,231,40,124,17,29,23,95
0.713370696557246,0.759547043321176,1071,220,42,45,17,10,25,35
0.75621665896585,0.798568957333303,1081,210,38,36,20,11,18,25
0.758448021626936,0.811794151537645,1053,238,39,76,25,29,14,47
0.790974129209423,0.844226659491582,1080,211,33,71,19,15,14,56
0.746644983591186,0.810085370151904,1067,224,27,59,13,8,14,51
0.728053211439287,0.797111597080043,1087,204,27,60,14,11,13,49
0.766664380743382,0.829049166576073,1073,218,23,66,9,16,14,50
0.775153609831029,0.818646919925256,1072,219,31,54,18,18,13,36
0.772227990600579,0.822086281216755,1074,217,29,59,13,16,16,43
0.746406649128827,0.789805746082046,1055,236,42,50,24,17,18,33
0.712858536585366,0.717558131389662,1055,236,41,19,15,6,26,13
0.767080818007394,0.803320670925515,1059,232,34,89,16,20,18,69
0.749960348929421,0.749129932474226,1064,227,30,11,13,3,17,8
0.718010791540203,0.741277885651209,1066,225,33,70,13,10,20,60
0.713241143712855,0.717703134654073,1064,227,34,16,17,9,17,7
0.752107317073171,0.783389734626185,1085,206,41,43,18,13,23,30
0.700177584846093,0.706612029173884,1081,210,24,12,10,5,14,7
0.717890350243291,0.755250658893922,1048,243,33,48,15,9,18,39
0.736057708107398,0.778522369669138,1051,240,49,76,25,20,24,56
0.742354377779398,0.748491996482596,1078,213,44,19,19,7,25,12
0.760861310951239,0.815116254689777,1076,215,40,53,20,14,20,39
0.700774679061532,0.753999193396807,1042,249,36,48,18,11,18,37
0.767788885621876,0.825165275538882,1081,210,38,78,22,20,16,58
0.793245398508556,0.804408809173983,1072,219,37,16,22,9,15,7
0.697140178152836,0.730427084846578,1050,241,27,46,9,11,18,35
0.819370353257445,0.851032194844885,1079,212,38,96,23,24,15,72
0.6751255617235,0.717382678253226,1083,208,30,25,12,7,18,18
0.716905901116427,0.754419074932398,1047,244,37,38,18,12,19,26
0.78727576771055,0.815192580121855,1072,219,26,44,13,13,13,31
0.742575524833589,0.792825715187139,1081,210,31,50,13,10,18,40
0.684046345811052,0.748943840663333,1088,203,33,28,15,12,18,16
0.757539625186684,0.805360781879784,1076,215,33,72,18,16,15,56
0.790731707317073,0.826478142203293,1087,204,41,39,22,15,19,24
0.694218260096401,0.698791807553273,1059,232,34,21,14,8,20,13
