"ROC_observed_outcome","ROC_observed_corrected","ROC_true","sum_low_risk","sum_high_risk","sum_outcome_observed","sum_outcome_true","sum_high_risk_observed","sum_high_risk_true","sum_low_risk_observed","sum_low_risk_true"
0.714125675583225,0.74403144989963,0.663483146067416,1093,198,47,45,20,15,27,30
0.75829231129864,0.795262317595516,0.665323806628154,1044,247,27,26,15,11,12,15
0.702653658536585,0.722202161246633,0.708167330677291,1058,233,41,36,16,14,25,22
0.730001228803146,0.775315961932972,0.674408126484804,1066,225,39,39,19,15,20,24
0.730803965220313,0.756889473244359,0.704587805605247,1063,228,38,43,18,17,20,26
0.745466560930478,0.775860311098802,0.669670065635256,1045,246,30,27,16,14,14,13
0.71761829236056,0.744858386485547,0.651326207442597,1053,238,30,28,13,10,17,18
0.78157962109575,0.806158377069534,0.698237305972113,1069,222,31,24,17,13,14,11
0.7428,0.773827791262679,0.665765544359794,1051,240,41,39,24,18,17,21
0.648902899126291,0.681073674740108,0.620066889632107,1078,213,32,26,12,5,20,21
0.735305816837475,0.751435035262234,0.671463334737236,1061,230,34,34,15,14,19,20
0.781694248013414,0.807597309100584,0.780216819690504,1056,235,44,37,26,20,18,17
0.731924460431655,0.747796596725293,0.734713375796178,1076,215,40,35,15,11,25,24
0.722340068047213,0.759110325332485,0.705727307094552,1080,211,38,38,20,18,18,20
0.725095909306436,0.76975413300786,0.681590148981453,1036,255,37,26,22,16,15,10
0.712878468809958,0.736264713319163,0.672777340676633,1059,232,34,20,15,8,19,12
0.686387782204515,0.712785582125151,0.624627680698967,1068,223,36,32,11,9,25,23
0.746760975609756,0.766555838080885,0.594373105047262,1043,248,41,45,24,19,17,26
0.720100123439857,0.759656036124797,0.713379508983679,1056,235,23,23,11,7,12,16
0.793437361664453,0.813785621568077,0.746266319795732,1060,231,36,33,20,18,16,15
0.737703196538833,0.760769859344077,0.713709111329496,1065,226,38,34,17,15,21,19
0.840376245963779,0.86212578557669,0.721989818503763,1065,226,34,36,24,20,10,16
0.682057426067011,0.706373475645989,0.670660276890309,1068,223,39,39,13,10,26,29
0.783593060864452,0.794901781908723,0.736848780487805,1069,222,38,41,21,17,17,24
0.769836681601388,0.789272751511325,0.696889400921659,1089,202,33,31,15,12,18,19
0.715814634146341,0.747315637172687,0.67731129499727,1050,241,41,38,20,16,21,22
0.738778976818545,0.758965514585091,0.706630402822699,1057,234,40,38,17,14,23,24
0.795700844289495,0.807906355696808,0.789484185323644,1069,222,38,38,20,19,18,19
0.747939833200953,0.786004122170046,0.642658757372103,1049,242,32,23,15,8,17,15
0.779990516832622,0.797606852572583,0.771279620853081,1058,233,37,25,21,14,16,11
0.723919472247498,0.748659771247012,0.671044546850998,1080,211,35,31,17,13,18,18
0.764030821356358,0.794250739267661,0.722397476340694,1065,226,29,23,13,8,16,15
0.696967569844167,0.737362842400231,0.709577379142597,1081,210,34,26,14,10,20,16
0.725561723499868,0.76092826300004,0.670671424795136,1084,207,30,30,12,8,18,22
0.701513743920433,0.734135426539069,0.657570690179386,1052,239,29,26,13,9,16,17
0.775661505693455,0.791321818694343,0.763600317208565,1046,245,39,30,20,15,19,15
0.734347048300537,0.759093173592914,0.678322525342874,1089,202,43,43,22,20,21,23
0.645833333333333,0.667303118817024,0.672855538396743,1063,228,40,34,14,11,26,23
0.757639439598202,0.787356158128469,0.692332914366905,1067,224,30,29,16,13,14,16
0.822177921049655,0.841131159380913,0.707009531374106,1066,225,28,32,18,15,10,17
0.764456323930846,0.793332568672347,0.765948422124194,1083,208,35,28,18,17,17,11
0.810943296237414,0.840492551106289,0.771510815628463,1080,211,33,33,17,15,16,18
0.751823888700373,0.789990418368686,0.75329641350211,1066,225,28,27,14,13,14,14
0.69398601016449,0.739316158422145,0.685608214849921,1096,195,29,25,15,13,14,12
0.720787439283027,0.744104912055669,0.701848071735802,1069,222,47,44,20,16,27,28
0.734885759529465,0.758087977151431,0.63641736514077,1045,246,28,22,12,8,16,14
0.751734988577094,0.786004664683708,0.712142764774344,1083,208,37,37,18,18,19,19
0.682040491355778,0.721466562361451,0.600166002656042,1067,224,35,36,14,12,21,24
0.757219218481199,0.772097269354641,0.727808617499339,1076,215,39,30,15,11,24,19
0.730899672033393,0.770263771597777,0.755675614194722,1054,237,43,35,22,19,21,16
0.734034846925159,0.760798652732756,0.637830752846727,1064,227,42,39,18,14,24,25
0.749920063948841,0.777329319396453,0.726589919977538,1061,230,40,34,19,15,21,19
0.715511591709675,0.748862927859877,0.636230940479691,1088,203,39,38,18,14,21,24
0.753733680204269,0.779271167539233,0.665414077178783,1091,200,33,33,12,8,21,25
0.741316457770132,0.772950282078483,0.694886062533121,1049,242,39,33,20,15,19,18
0.72611931551805,0.75824537880209,0.678193238621415,1078,213,27,24,9,7,18,17
0.761508879086076,0.803882955439841,0.698284849086577,1045,246,28,32,18,16,10,16
0.701354725700656,0.740125251870029,0.707391548504843,1065,226,43,34,23,18,20,16
0.734029268292683,0.754312365267588,0.698373521383076,1071,220,41,35,18,14,23,21
0.798849088322773,0.838175921461576,0.739234511008705,1074,217,37,31,23,16,14,15
0.723447131341868,0.763548541695391,0.719299513417161,1053,238,37,33,20,20,17,13
0.768475694946283,0.791262078591289,0.724764366068714,1090,201,33,26,13,10,20,16
0.74341186105892,0.766948260362129,0.703745724809261,1064,227,33,24,15,12,18,12
0.770956785662668,0.79586369339902,0.660100090991811,1060,231,33,35,14,11,19,24
0.690895573601738,0.696238851144568,0.675565249447039,1068,223,42,39,16,14,26,25
0.722897538687012,0.753741647426767,0.637941628264209,1075,216,37,31,19,14,18,17
0.729037761601456,0.762478271255708,0.688096685922773,1061,230,35,26,17,11,18,15
0.760151299624984,0.775205008720142,0.767610251926335,1056,235,37,29,16,13,21,16
0.665999466239658,0.683923160801882,0.68015278119112,1049,242,42,39,16,17,26,22
0.688546405823476,0.727791436860618,0.644617323019222,1059,232,35,27,14,10,21,17
0.751627861089187,0.786201763350502,0.680050822449314,1062,229,24,29,13,13,11,16
0.642548649722001,0.664228025749569,0.660059188935771,1082,209,32,27,7,3,25,24
0.750762514773724,0.769178359074732,0.704416138626665,1053,238,42,37,19,14,23,23
0.737073055028463,0.763146401936498,0.728389888486009,1065,226,51,47,25,22,26,25
0.805166949013607,0.843706268013295,0.723333333333333,1063,228,29,25,19,11,10,14
0.738379814077025,0.764686148894763,0.689381895264248,1059,232,36,33,19,17,17,16
