"ROC_observed_outcome","ROC_observed_corrected","sum_low_risk","sum_high_risk","sum_outcome_observed","sum_outcome_true","sum_high_risk_observed","sum_high_risk_true","sum_low_risk_observed","sum_low_risk_true"
0.756838849135361,0.803949399147755,1093,198,43,93,19,21,24,72
0.724542561654733,0.759586362862844,1054,237,34,59,15,13,19,46
0.739962372731297,0.780729201744069,1078,213,36,53,16,7,20,46
0.760715265395693,0.831116912037883,1062,229,23,85,13,18,10,67
0.71169685057794,0.783539160723012,1077,214,34,56,16,16,18,40
0.771980536686419,0.810323330571591,1048,243,33,33,20,16,13,17
0.725197716318031,0.781564348545903,1066,225,34,31,15,8,19,23
0.75647007363126,0.801619413842441,1084,207,44,153,19,32,25,121
0.803944967008283,0.834976152517817,1076,215,34,53,18,14,16,39
0.675301521574813,0.715467562022972,1062,229,49,93,18,16,31,77
0.78430243902439,0.839106518639435,1064,227,41,122,25,31,16,91
0.714264712059478,0.766818177481544,1071,220,38,55,15,10,23,45
0.752406554019457,0.792509213585889,1090,201,31,46,13,8,18,38
0.780855872275279,0.78917332034279,1074,217,44,21,27,13,17,8
0.783432958274731,0.85195484193753,1076,215,27,77,14,14,13,63
0.760941765241128,0.805506963650768,1078,213,35,44,19,17,16,27
0.746840640922499,0.802350891409322,1087,204,48,109,22,31,26,78
0.740429268292683,0.782526872680383,1060,231,41,101,18,26,23,75
0.692858536585366,0.718614061958517,1070,221,41,26,15,7,26,19
0.750774679061532,0.789435855489672,1083,208,36,26,19,8,17,18
0.778272712378144,0.821036896013845,1055,236,39,81,25,28,14,53
0.800031314737197,0.839741954845437,1078,213,33,31,21,12,12,19
0.736591669200365,0.801510944688774,1067,224,26,61,12,10,14,51
0.747513525329253,0.822299385199982,1087,204,29,75,16,13,13,62
0.768467614533965,0.820526704393662,1067,224,25,51,11,17,14,34
0.776174046862589,0.822347080213589,1073,218,32,54,19,19,13,35
0.764817328356521,0.803659413989924,1077,214,28,49,12,13,16,36
0.746892752297076,0.799583067172875,1055,236,42,93,24,23,18,70
0.70738297555158,0.756701922908355,1058,233,43,47,16,12,27,35
0.758888567712097,0.794164598929764,1062,229,33,78,15,20,18,58
0.75112027979671,0.778608458090449,1064,227,29,72,12,15,17,57
0.728474988933156,0.721383035651535,1066,225,36,17,15,7,21,10
0.70773714891362,0.778831361771158,1061,230,33,117,16,29,17,88
0.744185824850356,0.781212742768271,1083,208,42,76,19,16,23,60
0.690774091627172,0.763022428210525,1084,207,25,53,10,15,15,38
0.718239630004336,0.754656792257338,1050,241,33,38,15,7,18,31
