"ROC_observed_outcome","ROC_observed_corrected","sum_low_risk","sum_high_risk","sum_outcome_observed","sum_outcome_true","sum_high_risk_observed","sum_high_risk_true","sum_low_risk_observed","sum_low_risk_true","mean_age_low_risk_true","mean_age_high_risk_true"
0.749253263959146,0.804355774344048,1053,238,33,56,15,14,18,42,41.9202832822525,43.5635025489192
0.755834914611005,0.778130328726409,1033,258,51,28,26,13,25,15,41.9202832822525,43.5635025489192
0.681844819503047,0.734430521466702,1072,219,27,70,12,12,15,58,41.9202832822525,43.5635025489192
0.760293448589627,0.799969995399813,1057,234,35,53,19,16,16,37,41.9202832822525,43.5635025489192
0.749408553230209,0.798557831381541,1067,224,35,68,16,14,19,54,41.9202832822525,43.5635025489192
0.768235294117647,0.809447748657683,1065,226,50,46,27,20,23,26,41.9202832822525,43.5635025489192
0.7508,0.759003577814437,1068,223,41,17,20,5,21,12,41.9202832822525,43.5635025489192
0.747658251774688,0.769090612673463,1052,239,38,63,18,13,20,50,41.9202832822525,43.5635025489192
0.725431606905711,0.774038860584187,1070,221,36,54,15,13,21,41,41.9202832822525,43.5635025489192
0.659222616188189,0.70731273205742,1066,225,42,60,15,19,27,41,41.9202832822525,43.5635025489192
0.726610743756489,0.75571979754644,1061,230,29,38,15,11,14,27,41.9202832822525,43.5635025489192
0.664888089528377,0.705541086524818,1047,244,40,36,19,10,21,26,41.9202832822525,43.5635025489192
0.642020805666224,0.700603855259796,1077,214,36,42,10,5,26,37,41.9202832822525,43.5635025489192
0.761918990703851,0.819859457413358,1062,229,36,40,23,18,13,22,41.9202832822525,43.5635025489192
0.717831612390786,0.758291934557663,1069,222,32,62,10,15,22,47,41.9202832822525,43.5635025489192
0.744034971226206,0.7730183178248,1045,246,36,32,19,9,17,23,41.9202832822525,43.5635025489192
0.76879160266257,0.805601962107096,1067,224,31,73,15,13,16,60,41.9202832822525,43.5635025489192
0.752101383680331,0.765936879823323,1068,223,37,73,15,13,22,60,41.9202832822525,43.5635025489192
0.706387608806964,0.762925983840949,1090,201,31,36,13,5,18,31,41.9202832822525,43.5635025489192
0.69954642330182,0.757075767667839,1059,232,29,46,13,14,16,32,41.9202832822525,43.5635025489192
0.729943155180497,0.762537077537403,1067,224,27,56,11,16,16,40,41.9202832822525,43.5635025489192
0.723658247829518,0.797237818048551,1086,205,24,80,12,15,12,65,41.9202832822525,43.5635025489192
0.701453872587893,0.765298986911737,1070,221,30,88,10,15,20,73,41.9202832822525,43.5635025489192
0.772952073883819,0.820440330913285,1071,220,29,35,16,11,13,24,41.9202832822525,43.5635025489192
0.815424266455194,0.84791653786651,1075,216,30,27,15,1,15,26,41.9202832822525,43.5635025489192
0.729673995201945,0.776966612710302,1071,220,49,92,19,20,30,72,41.9202832822525,43.5635025489192
0.734332533972822,0.772863986991328,1096,195,40,71,17,20,23,51,41.9202832822525,43.5635025489192
0.757450076804915,0.793363561678784,1058,233,31,25,14,9,17,16,41.9202832822525,43.5635025489192
0.708115252445149,0.736736069103284,1062,229,30,35,13,8,17,27,41.9202832822525,43.5635025489192
0.727687849720224,0.770131751280691,1057,234,40,56,17,20,23,36,41.9202832822525,43.5635025489192
0.815789473684211,0.858604503168136,1059,232,38,66,25,23,13,43,41.9202832822525,43.5635025489192
0.688356965697974,0.767300250996635,1065,226,34,258,13,48,21,210,41.9202832822525,43.5635025489192
0.718850714502888,0.764611486442607,1050,241,26,66,13,16,13,50,41.9202832822525,43.5635025489192
0.688712661908538,0.75388081508804,1075,216,30,35,15,8,15,27,41.9202832822525,43.5635025489192
0.722332134292566,0.779934129838336,1064,227,40,61,19,21,21,40,41.9202832822525,43.5635025489192
0.696039024390244,0.745409470079396,1074,217,41,51,15,12,26,39,41.9202832822525,43.5635025489192
0.594073220686124,0.630240554130728,1067,224,31,36,11,9,20,27,41.9202832822525,43.5635025489192
0.764220900529948,0.805208885720988,1053,238,42,47,24,19,18,28,41.9202832822525,43.5635025489192
0.706794564348521,0.759852091692871,1063,228,40,81,18,26,22,55,41.9202832822525,43.5635025489192
0.787010391686651,0.809483442554615,1059,232,40,49,22,18,18,31,41.9202832822525,43.5635025489192
0.784839863787232,0.820288536628422,1075,216,37,40,20,14,17,26,41.9202832822525,43.5635025489192
0.712172033392964,0.733735630401839,1091,200,43,31,15,8,28,23,41.9202832822525,43.5635025489192
0.702907452907453,0.767012432844053,1064,227,37,66,14,11,23,55,41.9202832822525,43.5635025489192
0.751464455917395,0.779802633453104,1056,235,32,20,12,9,20,11,41.9202832822525,43.5635025489192
0.806493202062822,0.841942269631045,1037,254,27,56,18,22,9,34,41.9202832822525,43.5635025489192
0.777810978308986,0.80798769883156,1077,214,36,53,18,17,18,36,41.9202832822525,43.5635025489192
0.724317561419472,0.781939151794526,1068,223,35,108,13,19,22,89,41.9202832822525,43.5635025489192
0.753813936075624,0.798113847123942,1062,229,34,40,20,18,14,22,41.9202832822525,43.5635025489192
0.797361237488626,0.841532654569055,1074,217,35,37,21,10,14,27,41.9202832822525,43.5635025489192
0.795743834526651,0.846443699037902,1076,215,34,49,19,13,15,36,41.9202832822525,43.5635025489192
0.689333718745484,0.717083992798189,1054,237,33,26,12,4,21,22,41.9202832822525,43.5635025489192
0.761246692149368,0.815791371186726,1073,218,38,69,21,15,17,54,41.9202832822525,43.5635025489192
0.737934221027429,0.772735363920727,1070,221,38,64,16,13,22,51,41.9202832822525,43.5635025489192
0.706339356632248,0.740153406418331,1091,200,32,47,13,17,19,30,41.9202832822525,43.5635025489192
0.753523858787017,0.796008946484396,1067,224,37,52,20,19,17,33,41.9202832822525,43.5635025489192
0.684495532179618,0.778586791979982,1064,227,28,72,12,20,16,52,41.9202832822525,43.5635025489192
0.712341301612719,0.767683752544531,1072,219,42,34,20,14,22,20,41.9202832822525,43.5635025489192
0.744665718349929,0.802975027029712,1054,237,37,68,21,22,16,46,41.9202832822525,43.5635025489192
0.814875876842945,0.871997487806056,1048,243,38,108,24,37,14,71,41.9202832822525,43.5635025489192
0.805440582882945,0.844452365525378,1069,222,47,77,28,25,19,52,41.9202832822525,43.5635025489192
0.79278889899909,0.824793440588721,1076,215,35,48,17,12,18,36,41.9202832822525,43.5635025489192
0.738805813416222,0.778971274257384,1080,211,38,49,20,17,18,32,41.9202832822525,43.5635025489192
0.777699270910133,0.845541135641165,1057,234,39,108,25,32,14,76,41.9202832822525,43.5635025489192
0.763278048780488,0.807840846384209,1062,229,41,41,21,16,20,25,41.9202832822525,43.5635025489192
0.718596451319381,0.795992574028795,1074,217,35,132,18,33,17,99,41.9202832822525,43.5635025489192
0.670252324037184,0.701556283553518,1036,255,36,12,15,1,21,11,41.9202832822525,43.5635025489192
0.707544141252006,0.751978174404874,1086,205,45,79,20,18,25,61,41.9202832822525,43.5635025489192
0.700992436286554,0.736725327901503,1072,219,33,21,16,8,17,13,41.9202832822525,43.5635025489192
0.733628764649053,0.793929244364017,1073,218,38,74,17,16,21,58,41.9202832822525,43.5635025489192
0.699911634122161,0.745463619151924,1080,211,37,33,15,9,22,24,41.9202832822525,43.5635025489192
0.723445359772545,0.767044101587187,1059,232,44,57,19,22,25,35,41.9202832822525,43.5635025489192
0.763924475994455,0.807541726569476,1087,204,38,88,16,22,22,66,41.9202832822525,43.5635025489192
0.823151078293483,0.845698685813562,1046,245,27,36,19,13,8,23,41.9202832822525,43.5635025489192
0.816651501364877,0.857614811826484,1078,213,35,48,22,16,13,32,41.9202832822525,43.5635025489192
0.845542911332385,0.869249592816108,1061,230,37,50,26,19,11,31,41.9202832822525,43.5635025489192
0.815338645418327,0.844022508108463,1062,229,36,79,23,24,13,55,41.9202832822525,43.5635025489192
0.758678191024969,0.797727036119494,1088,203,46,69,19,23,27,46,41.9202832822525,43.5635025489192
0.807038512616202,0.860579482094502,1075,216,36,104,19,23,17,81,41.9202832822525,43.5635025489192
0.767056354916067,0.827877054538131,1054,237,40,133,23,31,17,102,41.9202832822525,43.5635025489192
0.709481902278512,0.751755806275081,1070,221,52,74,26,26,26,48,41.9202832822525,43.5635025489192
0.791649117881043,0.841404499904954,1091,200,34,73,19,22,15,51,41.9202832822525,43.5635025489192
0.716932270916335,0.763056486653558,1056,235,36,60,16,16,20,44,41.9202832822525,43.5635025489192
0.717446043165468,0.758055391081268,1061,230,40,36,18,11,22,25,41.9202832822525,43.5635025489192
0.689408577309195,0.754554915276813,1060,231,38,67,16,17,22,50,41.9202832822525,43.5635025489192
0.716423196104471,0.760702886954153,1075,216,36,43,16,15,20,28,41.9202832822525,43.5635025489192
0.755681102196833,0.804704076587515,1091,200,38,76,21,22,17,54,41.9202832822525,43.5635025489192
0.750865740090786,0.812112595266481,1069,222,34,54,17,15,17,39,41.9202832822525,43.5635025489192
0.699674045418726,0.73463450557744,1079,212,22,28,9,9,13,19,41.9202832822525,43.5635025489192
0.744241949910554,0.775936677980126,1054,237,43,28,20,9,23,19,41.9202832822525,43.5635025489192
0.729313173933427,0.790528575287495,1075,216,27,76,13,16,14,60,41.9202832822525,43.5635025489192
0.754603806994245,0.802628843503173,1083,208,36,52,20,15,16,37,41.9202832822525,43.5635025489192
0.712859672421425,0.727831427767893,1060,231,36,26,13,3,23,23,41.9202832822525,43.5635025489192
0.719481300575928,0.749441347998249,1043,248,44,35,18,9,26,26,41.9202832822525,43.5635025489192
0.724385805277525,0.75467860342461,1051,240,35,52,17,19,18,33,41.9202832822525,43.5635025489192
0.784915891987605,0.831840316028143,1068,223,36,41,21,11,15,30,41.9202832822525,43.5635025489192
0.681922293858161,0.745202692886231,1051,240,28,67,10,13,18,54,41.9202832822525,43.5635025489192
0.795822152653548,0.836210819292768,1085,206,43,64,26,20,17,44,41.9202832822525,43.5635025489192
0.705986859747922,0.750294932801098,1053,238,48,36,25,16,23,20,41.9202832822525,43.5635025489192
0.719308478951549,0.768074951087862,1052,239,32,34,13,10,19,24,41.9202832822525,43.5635025489192
0.692392927687045,0.729532422647841,1048,243,33,64,12,18,21,46,41.9202832822525,43.5635025489192
0.719365968965649,0.770260594031024,1068,223,42,48,21,12,21,36,41.9202832822525,43.5635025489192
0.793322102110534,0.841331365993589,1073,218,34,41,19,5,15,36,41.9202832822525,43.5635025489192
0.751200109724318,0.799469862380119,1075,216,23,49,11,15,12,34,41.9202832822525,43.5635025489192
0.765500468823254,0.807402780329986,1053,238,27,43,18,14,9,29,41.9202832822525,43.5635025489192
0.675266175266175,0.718097833511496,1057,234,37,44,15,13,22,31,41.9202832822525,43.5635025489192
0.670906007751938,0.703960399399403,1059,232,43,51,17,11,26,40,41.9202832822525,43.5635025489192
0.741765794343114,0.809765449200006,1057,234,30,47,16,17,14,30,41.9202832822525,43.5635025489192
0.688813729874776,0.724999955607067,1060,231,43,59,17,10,26,49,41.9202832822525,43.5635025489192
0.73827650013217,0.786443689631003,1072,219,30,35,15,9,15,26,41.9202832822525,43.5635025489192
0.757129513134317,0.799670904818423,1037,254,42,47,27,14,15,33,41.9202832822525,43.5635025489192
0.791731012213955,0.83041476621021,1061,230,34,28,19,9,15,19,41.9202832822525,43.5635025489192
0.748760236578708,0.786234008604866,1054,237,35,56,17,15,18,41,41.9202832822525,43.5635025489192
0.662529738302934,0.702970668426134,1086,205,30,60,9,10,21,50,41.9202832822525,43.5635025489192
0.766355777979982,0.800235568204161,1048,243,35,72,18,17,17,55,41.9202832822525,43.5635025489192
0.846482298382536,0.862139631708996,1071,220,28,34,21,12,7,22,41.9202832822525,43.5635025489192
0.721906278434941,0.762641021896401,1065,226,35,47,17,17,18,30,41.9202832822525,43.5635025489192
0.788611578085262,0.831078055859005,1093,198,37,96,19,24,18,72,41.9202832822525,43.5635025489192
0.698226427459654,0.729311920241388,1052,239,39,40,19,12,20,28,41.9202832822525,43.5635025489192
0.709101382488479,0.741035066052162,1071,220,31,39,7,7,24,32,41.9202832822525,43.5635025489192
0.75435468385681,0.779777564691243,1083,208,23,45,7,11,16,34,41.9202832822525,43.5635025489192
0.727888989990901,0.783552927462253,1074,217,35,66,13,9,22,57,41.9202832822525,43.5635025489192
0.791844858962693,0.830590893934004,1031,260,35,70,23,25,12,45,41.9202832822525,43.5635025489192
