"ROC_observed_outcome","ROC_observed_corrected","sum_low_risk","sum_high_risk","sum_outcome_observed","sum_outcome_true","sum_high_risk_observed","sum_high_risk_true","sum_low_risk_observed","sum_low_risk_true"
0.733200636942675,0.762151878871579,1079,212,35,173,18,34,17,139
0.736651223735317,0.747839361105286,1069,222,34,156,16,34,18,122
0.819517698077824,0.843342595565073,1057,234,27,146,19,39,8,107
0.703541389995573,0.729477948999398,1064,227,36,160,18,27,18,133
0.806961044710049,0.808952761952717,1080,211,36,142,19,24,17,118
0.75169664065151,0.77245717554475,1073,218,28,144,16,34,12,110
0.772564832384567,0.796339782173093,1041,250,51,162,24,29,27,133
0.830669560641936,0.838513497505052,1081,210,24,144,10,27,14,117
0.754017264276228,0.757028251479543,1073,218,36,168,15,29,21,139
0.746818798778419,0.801119593388948,1080,211,28,140,14,28,14,112
0.76750075434286,0.794633849921481,1050,241,37,146,19,31,18,115
0.773981850376273,0.79556045949843,1078,213,36,148,15,28,21,120
0.762826998121116,0.79347682317771,1063,228,33,144,20,28,13,116
0.687082926829268,0.70996626403462,1086,205,41,171,18,21,23,150
0.751300483329237,0.773757618701006,1089,202,39,144,17,25,22,119
0.779708973322555,0.815777013167739,1047,244,54,138,31,32,23,106
0.75194027887398,0.776349083006883,1050,241,24,144,11,30,13,114
0.727041861227165,0.754841742463525,1057,234,39,144,19,27,20,117
0.750708277999115,0.771646475073076,1041,250,36,162,15,32,21,130
0.684924602007813,0.704751938576876,1073,218,38,171,15,40,23,131
0.741966565495977,0.760761130947592,1079,212,33,146,14,26,19,120
0.714444971537002,0.718552654547972,1084,207,51,160,20,31,31,129
0.686478766749275,0.71618963660862,1066,225,38,157,15,34,23,123
0.717618415227977,0.738705999806892,1074,217,36,155,15,31,21,124
0.782673822147506,0.810998438946578,1050,241,37,151,23,38,14,113
0.736237174427782,0.766670756346432,1091,200,24,149,7,17,17,132
0.772220355357668,0.786250840031619,1062,229,38,169,20,32,18,137
0.759654828879512,0.779865393200149,1056,235,27,142,16,32,11,110
0.779886091127098,0.792909616549583,1068,223,40,163,25,35,15,128
0.732821300563236,0.750402240738227,1059,232,31,151,13,24,18,127
0.769742230268546,0.804587147811092,1065,226,37,140,16,30,21,110
0.783707865168539,0.798375856672403,1058,233,45,148,22,29,23,119
0.782718894009217,0.792520043744567,1036,255,31,155,19,39,12,116
0.750458135860979,0.774917786826456,1054,237,25,134,10,27,15,107
0.747542997542998,0.763182471568266,1064,227,33,149,17,26,16,123
0.720939345337902,0.756610485871944,1077,214,44,169,20,24,24,145
0.750193973878184,0.763156092957628,1066,225,37,159,19,33,18,126
0.647580487804878,0.666825310922005,1065,226,41,140,14,25,27,115
0.754632879404745,0.781112163872798,1072,219,34,140,16,26,18,114
0.750128691094576,0.771515494267437,1050,241,34,140,16,31,18,109
0.770967650718245,0.784868356576241,1089,202,28,163,13,29,15,134
0.730544874954813,0.762679951910617,1063,228,49,146,26,20,23,126
0.73439080792022,0.752541287859879,1068,223,33,171,17,33,16,138
0.7440433903492,0.753263712401301,1079,212,29,138,13,28,16,110
0.687077330197001,0.701732947380994,1075,216,38,157,13,32,25,125
0.778557265399371,0.813097274489777,1048,243,37,130,23,29,14,101
0.726141391794047,0.771468021936834,1053,238,48,150,27,29,21,121
0.695119521912351,0.735079809574528,1057,234,36,140,17,25,19,115
0.710752618647355,0.725357724977918,1051,240,37,171,15,38,22,133
0.782454535056617,0.815183240581692,1046,245,42,140,26,24,16,116
0.79086669699727,0.811748230179953,1058,233,35,165,18,37,17,128
0.721712920837125,0.75105432000157,1072,219,35,152,15,31,20,121
0.778471054786844,0.780152931438833,1058,233,37,152,21,30,16,122
0.723287804878049,0.728254050886857,1055,236,41,169,20,38,21,131
0.722791615911286,0.758443059743419,1060,231,38,163,16,29,22,134
0.72632351887671,0.740519647268288,1096,195,22,141,9,27,13,114
0.730368068603363,0.75457657243708,1081,210,33,143,18,26,15,117
0.767014992057188,0.799883852012648,1056,235,32,159,16,30,16,129
0.826868505195843,0.855597793813665,1069,222,40,158,26,35,14,123
0.733843418035472,0.771063419586947,1105,186,34,138,15,26,19,112
0.777348121502798,0.812618812028469,1086,205,40,142,24,25,16,117
0.758123063302346,0.779324446795962,1058,233,36,156,16,34,20,122
0.785593725178713,0.799961063517051,1066,225,32,154,18,30,14,124
0.828612034494387,0.830147383935397,1041,250,33,156,21,28,12,128
0.674022041302621,0.688379157425993,1088,203,32,153,8,18,24,135
0.73940131056394,0.745176238171363,1067,224,32,162,13,35,19,127
0.703629924745463,0.731287791334352,1066,225,36,150,12,35,24,115
0.773678758972877,0.794040282789803,1068,223,33,150,16,24,17,126
0.693657391697772,0.722295734316218,1058,233,28,143,10,28,18,115
0.706971409846809,0.726422681170939,1087,204,39,136,18,20,21,116
0.658898547409356,0.688214117035878,1058,233,42,165,19,34,23,131
0.773391286970424,0.790128675181579,1064,227,40,158,20,35,20,123
0.767208564631245,0.784519154737927,1068,223,30,157,16,20,14,137
0.779442456768038,0.796542913360613,1055,236,43,153,22,30,21,123
0.732156097560975,0.742375118772954,1063,228,41,147,17,36,24,111
0.673986808494415,0.691500870617997,1088,203,42,147,14,25,28,122
0.706938044034818,0.723806627135514,1061,230,31,136,14,26,17,110
0.715847803209682,0.72625424100482,1066,225,24,116,11,19,13,97
0.69801500064658,0.70345893931768,1067,224,37,146,13,25,24,121
0.66,0.690764905785924,1047,244,41,159,13,32,28,127
0.810009099181074,0.80834577368701,1037,254,35,151,24,27,11,124
0.725689082315504,0.736491981206687,1085,206,34,159,16,31,18,128
0.690515786338364,0.713654009167276,1072,219,32,148,10,31,22,117
0.739547315741583,0.778917925071509,1063,228,35,161,19,34,16,127
0.691273479427549,0.713006471594689,1074,217,43,149,16,31,27,118
0.771444616032571,0.781965360391421,1090,201,34,144,17,25,17,119
0.728901906274821,0.743813480381312,1074,217,32,138,14,26,18,112
0.808045595396193,0.812539485206839,1055,236,36,155,20,34,16,121
0.709470235786025,0.733837332258749,1080,211,37,144,16,35,21,109
0.687408098631377,0.705413326413833,1064,227,28,141,13,34,15,107
0.74937139863803,0.799355898948826,1065,226,46,157,24,26,22,131
0.703661795767059,0.723665442813123,1083,208,37,153,18,24,19,129
0.744529117379436,0.768114228267277,1077,214,35,155,16,33,19,122
0.675072201387991,0.696881838349238,1085,206,37,148,11,23,26,125
0.777516495858487,0.785037417309384,1054,237,34,143,21,31,13,112
0.74440034287418,0.784847857364918,1063,228,43,163,21,36,22,127
0.730931828242585,0.748031380674697,1060,231,36,168,19,39,17,129
0.714961361813808,0.743400352573628,1052,239,44,154,22,29,22,125
0.773070779061194,0.785465938665485,1054,237,39,168,19,32,20,136
0.774732084274987,0.781445528744769,1078,213,44,152,21,20,23,132
0.731486032604243,0.743366140958798,1094,197,39,150,17,27,22,123
0.730716362675126,0.751432941765398,1039,252,30,165,10,36,20,129
0.680401945724526,0.722142952420413,1061,230,31,149,14,33,17,116
0.742639528929852,0.798522212689611,1081,210,31,159,19,32,12,127
0.75757808499744,0.785284439595543,1067,224,31,147,15,21,16,126
0.786450059571088,0.817190441849304,1059,232,32,139,19,30,13,109
0.721256335718545,0.742609280947364,1061,230,43,129,18,28,25,101
0.80700502246894,0.820581004549864,1087,204,30,151,16,29,14,122
0.749471458773784,0.759896184536392,1073,218,44,156,20,27,24,129
0.640419683561277,0.646742134312731,1065,226,48,162,16,22,32,140
0.675762056414923,0.720495052950132,1064,227,35,147,19,28,16,119
0.719802162693536,0.741245070073404,1065,226,39,158,17,37,22,121
0.726370731707317,0.740704623075576,1075,216,41,161,21,40,20,121
0.760261477652782,0.773490931415506,1073,218,26,156,14,27,12,129
0.723435547291737,0.744585543032009,1053,238,53,169,25,37,28,132
0.721864913041384,0.747229198615064,1039,252,33,146,16,34,17,112
0.7373041290175,0.75986230834606,1069,222,42,151,19,34,23,117
0.717740580501533,0.73070588083664,1081,210,38,151,13,24,25,127
0.677019333169493,0.700200801180097,1052,239,39,165,11,34,28,131
0.713897438443209,0.752823184442086,1073,218,32,172,14,31,18,141
0.754617524805578,0.794723746136932,1072,219,48,150,25,25,23,125
0.711531129665637,0.731351606605511,1056,235,42,139,22,32,20,107
0.746148738379814,0.770348157497286,1080,211,36,153,16,28,20,125
0.737270183852917,0.74763831728357,1069,222,40,174,17,31,23,143
0.683962670804776,0.704236975750151,1069,222,37,156,18,25,19,131
0.751362517580872,0.758991835514432,1081,210,27,158,13,32,14,126
0.763136892510606,0.814893691718465,1079,212,38,179,22,29,16,150
0.725038402457757,0.764307062681212,1097,194,31,180,16,31,15,149
0.780001927060751,0.778676627705181,1074,217,33,127,18,23,15,104
0.756682464454976,0.767390155673295,1083,208,25,139,14,29,11,110
0.737522281639929,0.757491367988636,1079,212,33,135,11,18,22,117
0.718218917710197,0.738917115058352,1057,234,43,155,22,29,21,126
0.739347160457826,0.755396469219581,1068,223,44,158,19,27,25,131
0.744068292682927,0.764121246401173,1084,207,41,130,19,22,22,108
0.725206871928424,0.753603887703488,1065,226,38,164,18,35,20,129
0.702938655336911,0.717755168900281,1058,233,43,139,14,28,29,111
0.697975299196677,0.729513595924666,1058,233,29,129,12,22,17,107
0.708324016100179,0.732777574378731,1080,211,43,135,19,29,24,106
0.73848568902978,0.764888393099934,1069,222,53,156,25,35,28,121
0.796760956870962,0.823009260841935,1055,236,46,137,25,32,21,105
0.738667552014166,0.763893216131564,1084,207,36,141,17,33,19,108
0.712749800159872,0.75331094968771,1071,220,40,148,18,29,22,119
0.745544579030977,0.749737583955811,1050,241,32,157,15,30,17,127
0.858576548899129,0.864123859679456,1067,224,31,152,22,39,9,113
0.810600861641694,0.818814046536416,1067,224,42,147,26,34,16,113
0.740047961630695,0.743199661935956,1075,216,40,158,19,40,21,118
0.726868292682927,0.756489851911439,1079,212,41,163,17,32,24,131
0.697632505939215,0.724179959076697,1055,236,39,149,18,37,21,112
